,nr,participant,run,direction,surface,count,dur
0,198,TWOU,uctun,FRs,total,323,3460.0
0,198,TWOU,uctun,FRs,gaze_fw,326,3460.0
0,198,TWOU,uctun,FRs,gaze_ic,0,3460.0
0,198,TWOU,uctun,FRs,gaze_lm,0,3460.0
0,198,TWOU,uctun,FRs,gaze_lmopt,0,3460.0
0,198,TWOU,uctun,FRs,gaze_tm,0,3460.0
0,198,TWOU,uctun,FRs,gaze_tmopt,0,3460.0
0,198,TWOU,uctun,FRs,none,0,3460.0
0,199,TWOU,uctun,FL,total,1201,12690.0
0,199,TWOU,uctun,FL,gaze_fw,849,12690.0
0,199,TWOU,uctun,FL,gaze_ic,0,12690.0
0,199,TWOU,uctun,FL,gaze_lm,0,12690.0
0,199,TWOU,uctun,FL,gaze_lmopt,0,12690.0
0,199,TWOU,uctun,FL,gaze_tm,278,12690.0
0,199,TWOU,uctun,FL,gaze_tmopt,330,12690.0
0,199,TWOU,uctun,FL,none,22,12690.0
0,200,TWOU,uctun,BL,total,914,9893.328125
0,200,TWOU,uctun,BL,gaze_fw,435,9893.328125
0,200,TWOU,uctun,BL,gaze_ic,0,9893.328125
0,200,TWOU,uctun,BL,gaze_lm,0,9893.328125
0,200,TWOU,uctun,BL,gaze_lmopt,0,9893.328125
0,200,TWOU,uctun,BL,gaze_tm,180,9893.328125
0,200,TWOU,uctun,BL,gaze_tmopt,197,9893.328125
0,200,TWOU,uctun,BL,none,286,9893.328125
0,201,TWOU,uctun,FRs,total,337,3480.0
0,201,TWOU,uctun,FRs,gaze_fw,338,3480.0
0,201,TWOU,uctun,FRs,gaze_ic,0,3480.0
0,201,TWOU,uctun,FRs,gaze_lm,0,3480.0
0,201,TWOU,uctun,FRs,gaze_lmopt,0,3480.0
0,201,TWOU,uctun,FRs,gaze_tm,0,3480.0
0,201,TWOU,uctun,FRs,gaze_tmopt,2,3480.0
0,201,TWOU,uctun,FRs,none,0,3480.0
0,202,TWOU,uctun,BR,total,1013,10536.671875
0,202,TWOU,uctun,BR,gaze_fw,565,10536.671875
0,202,TWOU,uctun,BR,gaze_ic,0,10536.671875
0,202,TWOU,uctun,BR,gaze_lm,0,10536.671875
0,202,TWOU,uctun,BR,gaze_lmopt,0,10536.671875
0,202,TWOU,uctun,BR,gaze_tm,127,10536.671875
0,202,TWOU,uctun,BR,gaze_tmopt,188,10536.671875
0,202,TWOU,uctun,BR,none,261,10536.671875
0,203,TWOU,uctun,BL,total,933,9670.0
0,203,TWOU,uctun,BL,gaze_fw,567,9670.0
0,203,TWOU,uctun,BL,gaze_ic,0,9670.0
0,203,TWOU,uctun,BL,gaze_lm,0,9670.0
0,203,TWOU,uctun,BL,gaze_lmopt,0,9670.0
0,203,TWOU,uctun,BL,gaze_tm,122,9670.0
0,203,TWOU,uctun,BL,gaze_tmopt,127,9670.0
0,203,TWOU,uctun,BL,none,243,9670.0
0,204,TWOU,uctun,BR,total,1003,10156.671875
0,204,TWOU,uctun,BR,gaze_fw,624,10156.671875
0,204,TWOU,uctun,BR,gaze_ic,0,10156.671875
0,204,TWOU,uctun,BR,gaze_lm,0,10156.671875
0,204,TWOU,uctun,BR,gaze_lmopt,0,10156.671875
0,204,TWOU,uctun,BR,gaze_tm,114,10156.671875
0,204,TWOU,uctun,BR,gaze_tmopt,123,10156.671875
0,204,TWOU,uctun,BR,none,264,10156.671875
0,205,TWOU,uctun,FR,total,1188,12100.0
0,205,TWOU,uctun,FR,gaze_fw,1055,12100.0
0,205,TWOU,uctun,FR,gaze_ic,0,12100.0
0,205,TWOU,uctun,FR,gaze_lm,0,12100.0
0,205,TWOU,uctun,FR,gaze_lmopt,0,12100.0
0,205,TWOU,uctun,FR,gaze_tm,101,12100.0
0,205,TWOU,uctun,FR,gaze_tmopt,182,12100.0
0,205,TWOU,uctun,FR,none,54,12100.0
0,206,TWOU,uctun,FR,total,1413,14189.950000000012
0,206,TWOU,uctun,FR,gaze_fw,1230,14189.950000000012
0,206,TWOU,uctun,FR,gaze_ic,0,14189.950000000012
0,206,TWOU,uctun,FR,gaze_lm,0,14189.950000000012
0,206,TWOU,uctun,FR,gaze_lmopt,0,14189.950000000012
0,206,TWOU,uctun,FR,gaze_tm,85,14189.950000000012
0,206,TWOU,uctun,FR,gaze_tmopt,283,14189.950000000012
0,206,TWOU,uctun,FR,none,66,14189.950000000012
0,166,TWOU,noucfog,FL,total,915,9470.0
0,166,TWOU,noucfog,FL,gaze_fw,685,9470.0
0,166,TWOU,noucfog,FL,gaze_ic,0,9470.0
0,166,TWOU,noucfog,FL,gaze_lm,0,9470.0
0,166,TWOU,noucfog,FL,gaze_lmopt,0,9470.0
0,166,TWOU,noucfog,FL,gaze_tm,44,9470.0
0,166,TWOU,noucfog,FL,gaze_tmopt,136,9470.0
0,166,TWOU,noucfog,FL,none,94,9470.0
0,167,TWOU,noucfog,FR,total,1007,10370.0
0,167,TWOU,noucfog,FR,gaze_fw,702,10370.0
0,167,TWOU,noucfog,FR,gaze_ic,0,10370.0
0,167,TWOU,noucfog,FR,gaze_lm,0,10370.0
0,167,TWOU,noucfog,FR,gaze_lmopt,0,10370.0
0,167,TWOU,noucfog,FR,gaze_tm,181,10370.0
0,167,TWOU,noucfog,FR,gaze_tmopt,366,10370.0
0,167,TWOU,noucfog,FR,none,51,10370.0
0,168,TWOU,noucfog,FL,total,894,9390.0
0,168,TWOU,noucfog,FL,gaze_fw,687,9390.0
0,168,TWOU,noucfog,FL,gaze_ic,0,9390.0
0,168,TWOU,noucfog,FL,gaze_lm,0,9390.0
0,168,TWOU,noucfog,FL,gaze_lmopt,0,9390.0
0,168,TWOU,noucfog,FL,gaze_tm,0,9390.0
0,168,TWOU,noucfog,FL,gaze_tmopt,214,9390.0
0,168,TWOU,noucfog,FL,none,11,9390.0
0,169,TWOU,noucfog,BL,total,939,9469.9921875
0,169,TWOU,noucfog,BL,gaze_fw,633,9469.9921875
0,169,TWOU,noucfog,BL,gaze_ic,0,9469.9921875
0,169,TWOU,noucfog,BL,gaze_lm,0,9469.9921875
0,169,TWOU,noucfog,BL,gaze_lmopt,0,9469.9921875
0,169,TWOU,noucfog,BL,gaze_tm,2,9469.9921875
0,169,TWOU,noucfog,BL,gaze_tmopt,186,9469.9921875
0,169,TWOU,noucfog,BL,none,131,9469.9921875
0,170,TWOU,noucfog,BR,total,848,9016.6640625
0,170,TWOU,noucfog,BR,gaze_fw,443,9016.6640625
0,170,TWOU,noucfog,BR,gaze_ic,0,9016.6640625
0,170,TWOU,noucfog,BR,gaze_lm,0,9016.6640625
