,nr,participant,run,direction,surface,count
0,175,TWOU,noucfog,BR,gaze_lm,0
0,175,TWOU,noucfog,BR,gaze_lmopt,0
0,175,TWOU,noucfog,BR,gaze_tm,71
0,175,TWOU,noucfog,BR,gaze_tmopt,74
0,175,TWOU,noucfog,BR,none,205
0,176,TWOU,noucfog,BL,total,896
0,176,TWOU,noucfog,BL,gaze_fw,554
0,176,TWOU,noucfog,BL,gaze_ic,0
0,176,TWOU,noucfog,BL,gaze_lm,0
0,176,TWOU,noucfog,BL,gaze_lmopt,0
0,176,TWOU,noucfog,BL,gaze_tm,245
0,176,TWOU,noucfog,BL,gaze_tmopt,258
0,176,TWOU,noucfog,BL,none,93
0,177,TWOU,noucfog,BR,total,765
0,177,TWOU,noucfog,BR,gaze_fw,360
0,177,TWOU,noucfog,BR,gaze_ic,0
0,177,TWOU,noucfog,BR,gaze_lm,0
0,177,TWOU,noucfog,BR,gaze_lmopt,0
0,177,TWOU,noucfog,BR,gaze_tm,42
0,177,TWOU,noucfog,BR,gaze_tmopt,72
0,177,TWOU,noucfog,BR,none,336
0,178,TWOU,noucfog,FR,total,1452
0,178,TWOU,noucfog,FR,gaze_fw,1124
0,178,TWOU,noucfog,FR,gaze_ic,0
0,178,TWOU,noucfog,FR,gaze_lm,0
0,178,TWOU,noucfog,FR,gaze_lmopt,0
0,178,TWOU,noucfog,FR,gaze_tm,109
0,178,TWOU,noucfog,FR,gaze_tmopt,246
0,178,TWOU,noucfog,FR,none,190
0,179,TWOU,noucfog,FR,total,1068
0,179,TWOU,noucfog,FR,gaze_fw,716
0,179,TWOU,noucfog,FR,gaze_ic,0
0,179,TWOU,noucfog,FR,gaze_lm,0
0,179,TWOU,noucfog,FR,gaze_lmopt,0
0,179,TWOU,noucfog,FR,gaze_tm,288
0,179,TWOU,noucfog,FR,gaze_tmopt,380
0,179,TWOU,noucfog,FR,none,54
0,81,TWOU,ucrain,F,total,906
0,81,TWOU,ucrain,F,gaze_fw,489
